Game Name,Launch Date,Price,Image,Description
Battlefield™ 6,"10 Oct, 2025","₹3,999.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2807960/6b9c615389a493dc89bbb51eec1f91d32c2562f0/capsule_sm_120.jpg?t=1754001934,"The ultimate all-out warfare experience. In a war of tanks, fighter jets, and massive combat arsenals, your squad is the deadliest weapon."
Counter-Strike 2,"21 Aug, 2012",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/capsule_sm_120.jpg?t=1749053861,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2."
Grounded 2,"29 Jul, 2025","₹2,499.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2661300/e7f3c89538d758760b7d14ed8d3704e596db2c64/capsule_sm_120.jpg?t=1753914927,"Shrunk again, but the world is much larger. In this open-world, single-player or co-op survival adventure, craft weapons and armor, build your base, and traverse the playground on your buggy. But something else is out there—and it hasn’t forgotten you."
PUBG: BATTLEGROUNDS,"21 Dec, 2017",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/578080/14f42ab797699a9c9f137fda66582d8776da4330/capsule_sm_120.jpg?t=1746590920,"PUBG: BATTLEGROUNDS, the high-stakes winner-take-all shooter that started the Battle Royale craze, is free-to-play! Drop into diverse maps, loot unique weapons and supplies, and survive in an ever-shrinking zone where every turn could be your last."
Steam Deck,"17 Jan, 2025",No price,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1675200/capsule_sm_120.jpg?t=1699990406,No description found
Dead by Daylight,"14 Jun, 2016",₹463.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/381210/9f1e64f28a301f50bd6540be33a4f7fedb27b1dc/capsule_sm_120_alt_assets_2.jpg?t=1753818200,No description found
PEAK,"16 Jun, 2025",₹359.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3527290/1844964d7a353e50eb3cc979ea922729d8c1b0ad/capsule_sm_120.jpg?t=1753856675,"PEAK is a co-op climbing game where the slightest mistake can spell your doom. Either solo or as a group of lost nature scouts, your only hope of rescue from a mysterious island is to scale the mountain at its center. Do you have what it takes to reach the PEAK?"
Umamusume: Pretty Derby,"24 Jun, 2025",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3224770/8ec1b9ecbdf9af10a1c21aaf1b2a2f3be58bf097/capsule_sm_120.jpg?t=1750819298,Umamusume: Pretty Derby is ready to race! Scout featured trainees and supporters as you navigate the immersive sports life simulation through the game's in-depth training system and top-of-the-line 3D graphics!
Marvel Rivals,"5 Dec, 2024",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2767030/c984653538cfda1d1b195bd396b58936c2c65ae7/capsule_sm_120.jpg?t=1753953067,"Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!"
Warframe,"25 Mar, 2013",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/230410/32cfd7990963771dfe7d3a9f6990b1bbc7bcf3f8/capsule_sm_120.jpg?t=1753110568,No description found
Apex Legends™,"4 Nov, 2020",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172470/8d77e0d1ebca6d389b6330cf408936eb93484aee/capsule_sm_120.jpg?t=1749122685,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale."
